Message: Iniciamos el keep alive con (169.254.78.9,3001) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3010) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3011) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3019) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3022) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3025) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3039) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3048) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3010) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3011) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3019) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3022) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3025) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3039) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3048) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3010) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3011) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3019) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3022) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3025) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3039) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3048) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3010) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3011) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3019) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3022) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3025) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3039) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3048) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3010) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3011) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3019) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3022) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3025) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3039) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3048) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3010) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3011) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3019) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3022) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3025) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3039) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3048) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3010) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3011) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3019) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3022) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3025) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3039) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3048) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3001) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3010) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3011) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3012) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3019) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3022) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3025) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3026) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3039) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3048) | Type: Update. 
